Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
mmu_ll_entry_id_to_paddr_base             0.05         0.06%          78.04%
phy_i2c_bbtop_wakeup                      0.05         0.06%          78.10%
spi_flash_chip_gd_detect_size             0.05         0.06%          78.16%
spi_flash_chip_mxic_opi_detect_size       0.05         0.06%          78.21%
memspi_host_read_data_slicer              0.05         0.06%          78.27%
spi_flash_chip_winbond_page_program       0.05         0.06%          78.32%
s_psram_execution                         0.05         0.05%          78.38%
spi_flash_common_read_qe_sr               0.05         0.05%          78.43%
spi_flash_common_read_status_16b_rdsr_rdsr2       0.05         0.05%          78.49%
rtc_isr_noniram_disable                   0.05         0.05%          78.54%
spi_flash_encryption_hal_prepare          0.05         0.05%          78.60%
vListInsert                               0.05         0.05%          78.65%
esp_reset_reason_set_hint                 0.05         0.05%          78.70%
phy_wakeup_init                           0.05         0.05%          78.76%
clear_timing_tuning_regs                  0.05         0.05%          78.81%
spi_flash_common_write_qe_sr              0.05         0.05%          78.86%
memspi_host_set_write_protect             0.05         0.05%          78.92%
pm_disable_beacon_monitor_timer           0.05         0.05%          78.97%
spi_flash_chip_xmic_opi_config_host_io_mode       0.05         0.05%          79.02%
rtc_time_us_to_slowclk                    0.05         0.05%          79.07%
cache_hal_get_cache_line_size             0.05         0.05%          79.12%
spi_hal_user_start                        0.05         0.05%          79.18%
heap_caps_calloc_base                     0.05         0.05%          79.23%
on_spi_check_yield                        0.05         0.05%          79.28%
spi_flash_os_check_yield                  0.05         0.05%          79.33%
s_psram_write_data                        0.05         0.05%          79.38%
ra_to_str                                 0.05         0.05%          79.43%
spi_flash_turn_high_performance_write_hpf_bit_5       0.05         0.05%          79.47%
spi_flash_turn_high_performance_reconfig_dummy       0.05         0.05%          79.52%
uxListRemove                              0.05         0.05%          79.57%
xthal_save_extra_nw                       0.05         0.05%          79.62%
xthal_restore_extra_nw                    0.05         0.05%          79.67%
mspi_timing_change_speed_mode_cache_safe       0.05         0.05%          79.72%
spi_flash_chip_mxic_opi_get_data_length_zoom       0.04         0.05%          79.77%
cache_hal_invalidate_addr                 0.04         0.05%          79.82%
mspi_timing_enter_low_speed_mode          0.04         0.05%          79.87%
vTaskSuspendAll                           0.04         0.05%          79.91%
heap_caps_realloc                         0.04         0.05%          79.96%
heap_caps_calloc                          0.04         0.05%          80.01%
_calloc_r                                 0.04         0.05%          80.05%
heap_caps_malloc                          0.04         0.05%          80.10%
esp_reent_init                            0.04         0.05%          80.15%
uxQueueMessagesWaiting                    0.04         0.05%          80.19%
start_cpu_other_cores_default             0.04         0.04%          80.24%
s_set_pin_drive_capability                0.04         0.04%          80.28%
start_cpu_other_cores                     0.04         0.04%          80.32%
_esp_error_check_failed                   0.04         0.04%          80.37%
cache_hal_disable                         0.04         0.04%          80.41%
rtc_clk_slow_src_get                      0.04         0.04%          80.46%
bootloader_read_flash_id                  0.04         0.04%          80.50%
spi_flash_hpm_probe_chip_with_cmd         0.04         0.04%          80.54%
hal_mac_tx_config_timeout                 0.04         0.04%          80.59%
spi_flash_chip_th_probe                   0.04         0.04%          80.63%
spi_flash_chip_issi_probe                 0.04         0.04%          80.67%
spi_flash_chip_boya_probe                 0.04         0.04%          80.72%
esp_clk_apb_freq                          0.04         0.04%          80.76%
timer_list_lock                           0.04         0.04%          80.80%
rtc_time_get                              0.04         0.04%          80.84%
efuse_hal_flash_encryption_enabled        0.04         0.04%          80.89%
spi_bus_lock_bg_entry                     0.04         0.04%          80.93%
spi_post_trans                            0.04         0.04%          80.97%
vRingbufferDelete                         0.04         0.04%          81.01%
esp_vApplicationTickHook                  0.04         0.04%          81.05%
esp_log_impl_lock                         0.04         0.04%          81.09%
vTaskSetThreadLocalStoragePointerAndDelCallback       0.04         0.04%          81.13%
xPortSysTickHandler                       0.04         0.04%          81.17%
vPortTaskWrapper                          0.04         0.04%          81.21%
timer_alarm_isr                           0.04         0.04%          81.25%
memspi_host_erase_chip                    0.04         0.04%          81.29%
esp_log_write                             0.04         0.04%          81.33%
__retarget_lock_try_acquire_recursive       0.04         0.04%          81.37%
